stream,study_hours,attendance,sleep_hours,internet_usage,mathematics,physics,chemistry,biology,computer_science,english,previous_score,exam_score,strongest_subject,recommended_career,performance_level,attendance_status
Biology,9.0,89,7.6,1.2,92,92,90,100,0,85,91.8,100.0,Biology,Biomedical Researcher,Excellent,Eligible
Biology,6.5,87,7.5,4.0,87,83,90,72,0,81,82.6,89.59,Chemistry,Chemical Engineer,Excellent,Eligible
Biology,3.5,63,6.3,5.5,67,71,55,74,0,55,64.4,58.61,Biology,Biomedical Researcher,Average,Shortage
Biology,6.7,88,6.9,3.1,70,86,86,78,0,72,78.4,85.46,Physics,Research Scientist,Excellent,Eligible
Computer Science,6.8,75,7.7,3.4,74,79,71,0,92,84,80.0,84.3,Computer Science,Machine Learning Engineer,Good,Eligible
Computer Science,2.4,49,5.3,6.6,32,48,42,0,57,55,46.8,34.94,Computer Science,Machine Learning Engineer,Needs Improvement,Shortage
Biology,5.0,77,7.4,3.2,87,85,80,85,0,71,81.6,85.45,Mathematics,Actuary,Excellent,Eligible
Computer Science,3.5,62,6.5,3.6,65,67,64,0,70,53,63.8,55.75,Computer Science,Machine Learning Engineer,Average,Shortage
Computer Science,4.6,72,6.7,5.3,67,53,71,0,74,57,64.4,63.85,Computer Science,Software Engineer,Average,Shortage
Computer Science,4.8,61,6.8,4.8,55,60,61,0,50,78,60.8,56.76,English,Journalist,Average,Shortage
Biology,1.8,42,4.5,8.5,40,25,34,34,0,28,32.2,11.65,Mathematics,Data Scientist,Needs Improvement,Shortage
Computer Science,3.3,47,5.5,7.7,33,47,50,0,43,58,46.2,34.92,English,Teacher,Needs Improvement,Shortage
Biology,2.7,49,4.6,7.3,53,45,46,32,0,58,46.8,36.54,English,Lawyer,Needs Improvement,Shortage
Biology,9.6,97,7.1,2.5,86,100,82,98,0,90,91.2,100.0,Physics,Mechanical Engineer,Excellent,Eligible
Biology,6.1,85,7.1,3.6,80,81,90,74,0,88,82.6,93.2,Chemistry,Pharmacist,Excellent,Eligible
Computer Science,6.8,81,7.1,2.9,90,86,78,0,86,81,84.2,88.73,Mathematics,Actuary,Excellent,Eligible
Computer Science,6.3,85,7.7,2.2,89,76,85,0,81,84,83.0,90.72,Mathematics,Data Scientist,Excellent,Eligible
Computer Science,3.1,74,6.9,5.7,68,75,53,0,56,54,61.2,56.89,Physics,Aerospace Engineer,Average,Shortage
Biology,2.4,45,4.6,6.1,60,45,44,30,0,35,42.8,30.8,Mathematics,Data Scientist,Needs Improvement,Shortage
Computer Science,6.2,89,7.4,2.9,77,76,89,0,72,76,78.0,84.92,Chemistry,Chemical Engineer,Good,Eligible
Computer Science,6.4,83,7.4,3.8,89,88,80,0,87,83,85.4,90.71,Mathematics,Statistician,Excellent,Eligible
Computer Science,3.8,77,6.6,4.6,53,70,50,0,50,76,59.8,60.26,English,Content Writer,Average,Eligible
Computer Science,1.4,37,5.0,8.1,16,36,32,0,30,37,30.2,11.97,English,Content Writer,Needs Improvement,Shortage
Biology,2.1,40,4.7,5.2,53,34,49,33,0,63,46.4,34.85,English,Lawyer,Needs Improvement,Shortage
Biology,6.1,88,7.0,3.6,75,76,84,88,0,78,80.2,87.22,Biology,Doctor,Excellent,Eligible
Biology,4.9,79,5.9,5.1,73,57,58,71,0,55,62.8,64.87,Mathematics,Actuary,Average,Eligible
Biology,4.3,63,7.5,3.8,51,72,75,60,0,66,64.8,60.23,Chemistry,Chemical Engineer,Average,Shortage
Biology,6.1,88,7.9,3.9,84,74,85,71,0,75,77.8,85.84,Chemistry,Chemical Engineer,Excellent,Eligible
Computer Science,9.9,91,8.0,0.8,89,90,98,0,99,90,93.2,100.0,Computer Science,Machine Learning Engineer,Excellent,Eligible
Biology,4.0,76,7.1,5.4,59,72,67,72,0,79,69.8,75.26,English,Teacher,Good,Eligible
Computer Science,8.3,100,8.2,1.6,88,98,99,0,91,85,92.2,100.0,Chemistry,Forensic Scientist,Excellent,Eligible
Computer Science,9.6,99,7.8,0.6,86,95,95,0,93,88,91.4,100.0,Physics,Research Scientist,Excellent,Eligible
Computer Science,0.6,31,4.9,8.5,27,22,19,0,15,45,25.6,8.75,English,Journalist,Needs Improvement,Shortage
Computer Science,4.2,78,5.8,4.2,52,70,62,0,63,66,62.6,64.14,Physics,Aerospace Engineer,Average,Eligible
Biology,3.3,67,7.3,4.1,73,57,62,68,0,54,62.8,57.58,Mathematics,Financial Analyst,Average,Shortage
Biology,4.4,64,5.9,5.8,50,62,70,62,0,75,63.8,61.87,English,Lawyer,Average,Shortage
Computer Science,2.0,55,5.3,6.5,57,37,31,0,39,64,45.6,36.04,English,Journalist,Needs Improvement,Shortage
Computer Science,4.1,79,6.3,3.1,72,60,59,0,55,72,63.6,64.74,Mathematics,Financial Analyst,Average,Eligible
Computer Science,1.8,67,5.3,6.7,31,47,31,0,44,49,40.4,32.33,English,Teacher,Needs Improvement,Shortage
Computer Science,8.9,96,8.1,1.2,88,91,89,0,93,95,91.2,100.0,English,Lawyer,Excellent,Eligible
Biology,7.2,95,7.5,1.3,92,91,93,90,0,86,90.4,97.95,Chemistry,Chemical Engineer,Excellent,Eligible
Computer Science,3.5,70,6.5,3.2,50,58,73,0,74,59,62.8,56.27,Computer Science,AI Engineer,Average,Shortage
Biology,7.5,92,8.5,1.1,96,88,90,85,0,95,90.8,99.14,Mathematics,Financial Analyst,Excellent,Eligible
Computer Science,3.8,73,5.9,3.5,53,74,57,0,72,59,63.0,57.87,Physics,Mechanical Engineer,Average,Shortage
Biology,7.2,92,7.1,0.6,94,95,84,86,0,94,90.6,100.0,Physics,Research Scientist,Excellent,Eligible
Computer Science,3.3,66,4.9,7.4,31,34,43,0,48,55,42.2,31.49,English,Journalist,Needs Improvement,Shortage
Computer Science,4.0,72,6.1,5.6,52,68,55,0,64,75,62.8,58.43,English,Content Writer,Average,Shortage
Computer Science,5.3,86,6.8,2.9,82,86,79,0,81,79,81.4,86.1,Physics,Research Scientist,Excellent,Eligible
Biology,4.8,78,6.9,4.0,52,56,60,59,0,59,57.2,61.53,Chemistry,Pharmacist,Average,Eligible
Computer Science,4.4,63,6.0,5.3,58,67,75,0,58,58,63.2,61.59,Chemistry,Forensic Scientist,Average,Shortage
Computer Science,3.2,78,5.9,3.0,64,74,66,0,57,56,63.4,64.08,Physics,Mechanical Engineer,Average,Eligible
Biology,4.7,67,6.9,4.7,64,71,66,71,0,62,66.8,65.52,Physics,Aerospace Engineer,Average,Shortage
Biology,6.1,86,7.8,3.5,75,71,68,70,0,73,71.4,78.91,Mathematics,Financial Analyst,Good,Eligible
Computer Science,4.2,74,7.5,3.3,69,68,55,0,54,65,62.2,61.23,Mathematics,Data Scientist,Average,Shortage
Computer Science,5.1,85,7.5,3.4,84,81,84,0,90,74,82.6,90.48,Computer Science,Machine Learning Engineer,Excellent,Eligible
Computer Science,7.3,89,7.4,1.4,93,90,82,0,86,92,88.6,98.23,Mathematics,Financial Analyst,Excellent,Eligible
Computer Science,7.2,91,8.2,1.9,96,98,90,0,93,86,92.6,100.0,Physics,Research Scientist,Excellent,Eligible
Computer Science,3.2,67,5.0,6.3,60,39,36,0,62,59,51.2,46.29,Computer Science,Cybersecurity Analyst,Needs Improvement,Shortage
Biology,2.1,53,6.0,6.8,48,49,46,58,0,38,47.8,35.31,Biology,Biotechnologist,Needs Improvement,Shortage
Computer Science,2.3,60,5.1,5.5,53,30,57,0,49,56,49.0,45.1,Chemistry,Forensic Scientist,Needs Improvement,Shortage
Computer Science,2.4,67,6.5,7.4,35,31,41,0,42,55,40.8,34.48,English,Teacher,Needs Improvement,Shortage
Computer Science,6.0,78,7.1,2.3,73,79,88,0,75,67,76.4,85.67,Chemistry,Chemical Engineer,Excellent,Eligible
Computer Science,9.3,90,8.0,0.7,88,88,82,0,99,87,88.8,97.99,Computer Science,Software Engineer,Excellent,Eligible
Biology,6.0,87,6.9,3.6,84,71,72,87,0,69,76.6,83.1,Biology,Microbiologist,Good,Eligible
Computer Science,0.9,38,4.9,7.4,23,34,32,0,34,26,29.8,13.39,Physics,Electrical Engineer,Needs Improvement,Shortage
Biology,4.5,60,6.6,5.7,74,64,57,72,0,54,64.2,64.79,Mathematics,Financial Analyst,Average,Shortage
Computer Science,2.0,62,5.1,7.0,59,30,40,0,62,48,47.8,41.64,Computer Science,Software Engineer,Needs Improvement,Shortage
Computer Science,9.7,90,7.5,2.5,92,96,89,0,87,87,90.2,98.09,Physics,Mechanical Engineer,Excellent,Eligible
Computer Science,9.9,89,8.1,2.4,89,94,95,0,93,89,92.0,100.0,Chemistry,Chemical Engineer,Excellent,Eligible
Computer Science,4.3,71,5.8,5.2,59,75,56,0,53,57,60.0,55.5,Physics,Mechanical Engineer,Average,Shortage
Computer Science,8.1,97,8.2,0.8,91,94,95,0,88,80,89.6,100.0,Chemistry,Chemical Engineer,Excellent,Eligible
Biology,6.1,87,7.5,2.9,83,82,74,71,0,70,76.0,86.99,Mathematics,Financial Analyst,Excellent,Eligible
Computer Science,5.0,62,7.1,3.9,69,68,53,0,59,62,62.2,62.46,Mathematics,Data Scientist,Average,Shortage
Computer Science,4.9,67,5.9,4.5,75,54,57,0,64,58,61.6,57.65,Mathematics,Statistician,Average,Shortage
Biology,6.8,88,7.8,3.5,90,87,72,71,0,77,79.4,88.38,Mathematics,Actuary,Excellent,Eligible
Biology,9.2,91,7.5,1.1,89,95,92,91,0,84,90.2,100.0,Physics,Electrical Engineer,Excellent,Eligible
Computer Science,7.4,88,8.1,0.5,97,95,98,0,96,94,96.0,100.0,Chemistry,Chemical Engineer,Excellent,Eligible
Computer Science,5.6,77,7.7,3.1,88,87,77,0,73,82,81.4,84.59,Mathematics,Financial Analyst,Good,Eligible
Computer Science,5.4,78,7.4,3.7,70,70,68,0,73,82,72.6,73.37,English,Content Writer,Good,Eligible
Computer Science,4.5,81,7.3,3.8,52,74,50,0,75,56,61.4,63.23,Computer Science,AI Engineer,Average,Eligible
Computer Science,8.0,93,7.3,1.1,90,92,89,0,92,94,91.4,100.0,English,Lawyer,Excellent,Eligible
Biology,8.1,90,7.9,2.5,93,93,93,87,0,83,89.8,100.0,Mathematics,Data Scientist,Excellent,Eligible
Biology,9.1,92,7.3,0.8,90,96,89,98,0,90,92.6,100.0,Biology,Biotechnologist,Excellent,Eligible
Computer Science,4.6,73,6.3,5.9,65,59,66,0,61,54,61.0,58.61,Chemistry,Forensic Scientist,Average,Shortage
Biology,1.4,34,3.8,7.2,27,40,21,31,0,21,28.0,15.58,Physics,Electrical Engineer,Needs Improvement,Shortage
Computer Science,8.1,98,7.6,2.1,87,94,93,0,95,83,90.4,100.0,Computer Science,Machine Learning Engineer,Excellent,Eligible
Computer Science,3.1,76,6.6,5.8,65,54,52,0,70,56,59.4,57.47,Computer Science,Cybersecurity Analyst,Average,Eligible
Biology,5.5,80,7.9,2.2,84,73,80,89,0,67,78.6,82.36,Biology,Microbiologist,Good,Eligible
Biology,5.0,62,7.0,5.4,62,67,75,52,0,54,62.0,60.98,Chemistry,Pharmacist,Average,Shortage
Biology,2.7,70,6.0,7.6,33,53,43,60,0,39,45.6,39.87,Biology,Biomedical Researcher,Needs Improvement,Shortage
Computer Science,4.4,70,7.4,3.2,55,61,56,0,61,61,58.8,56.27,Physics,Electrical Engineer,Average,Shortage
Biology,2.0,41,5.6,7.2,32,46,41,35,0,35,37.8,28.93,Physics,Research Scientist,Needs Improvement,Shortage
Biology,4.6,64,6.1,4.4,66,63,73,63,0,50,63.0,58.94,Chemistry,Forensic Scientist,Average,Shortage
Computer Science,9.3,99,8.0,2.2,90,97,96,0,98,80,92.2,100.0,Computer Science,Machine Learning Engineer,Excellent,Eligible
Biology,7.0,86,7.6,3.6,76,87,71,79,0,68,76.2,86.37,Physics,Research Scientist,Excellent,Eligible
Biology,9.1,90,7.9,1.2,88,90,99,87,0,93,91.4,100.0,Chemistry,Materials Scientist,Excellent,Eligible
Computer Science,3.8,64,7.3,3.6,63,68,68,0,73,50,64.4,58.69,Computer Science,Software Engineer,Average,Shortage
Biology,6.9,85,6.6,3.2,82,78,86,81,0,74,80.2,85.39,Chemistry,Forensic Scientist,Excellent,Eligible
Computer Science,5.3,89,7.0,2.7,73,78,81,0,86,88,81.2,87.58,English,Teacher,Excellent,Eligible
