study_hours,attendance,sleep_hours,internet_usage,number_of_subjects,average_subject_score,highest_subject_score,lowest_subject_score,score_consistency,previous_overall_score,exam_score,performance_level,attendance_status
3.7,79,6.2,4.3,5,61.4,75.0,50.0,9.05,52.32,58.41,Average,Eligible
5.7,90,6.8,3.9,7,82.57,91.0,74.0,6.65,79.46,88.03,Excellent,Eligible
3.7,65,7.2,4.3,5,64.2,71.0,53.0,6.37,66.26,59.95,Average,Shortage
3.1,67,5.1,5.6,3,53.67,60.0,50.0,4.5,44.35,45.79,Needs Improvement,Shortage
3.8,80,5.9,5.8,6,66.33,78.0,53.0,8.73,73.22,67.74,Average,Eligible
4.9,68,7.0,3.4,6,65.5,73.0,58.0,5.5,72.57,69.93,Average,Shortage
6.5,84,6.8,3.1,8,84.75,91.0,76.0,5.61,84.58,88.43,Excellent,Eligible
9.3,94,7.8,1.6,6,94.17,98.0,88.0,3.39,93.62,100.0,Excellent,Eligible
7.0,84,6.7,3.1,4,78.75,91.0,71.0,7.43,75.12,81.29,Good,Eligible
5.4,83,7.9,3.8,4,78.0,85.0,70.0,7.04,70.29,80.57,Good,Eligible
1.9,51,4.7,6.3,7,49.86,63.0,34.0,10.38,55.61,35.47,Needs Improvement,Shortage
8.8,92,7.6,1.4,3,92.33,97.0,89.0,3.4,94.7,100.0,Excellent,Eligible
4.3,70,6.6,5.3,8,67.38,77.0,51.0,8.64,74.7,67.26,Average,Shortage
5.7,77,7.7,3.0,8,84.62,92.0,77.0,4.64,93.08,91.03,Excellent,Eligible
3.1,61,6.0,7.3,7,47.43,63.0,35.0,10.07,39.03,39.73,Needs Improvement,Shortage
6.5,87,7.6,2.5,8,79.62,92.0,70.0,8.15,69.9,84.52,Good,Eligible
8.2,92,8.5,2.2,8,89.5,94.0,87.0,2.5,86.51,95.76,Excellent,Eligible
2.6,52,6.1,6.3,6,59.33,65.0,41.0,8.36,52.8,48.77,Needs Improvement,Shortage
1.9,51,6.0,5.8,8,48.25,55.0,31.0,8.39,43.76,34.31,Needs Improvement,Shortage
5.9,80,6.6,2.3,8,81.88,90.0,70.0,5.9,79.46,82.99,Good,Eligible
9.5,88,8.2,2.4,6,90.67,97.0,85.0,4.64,97.21,100.0,Excellent,Eligible
2.0,30,5.1,8.0,5,31.2,39.0,16.0,8.52,25.04,14.78,Needs Improvement,Shortage
1.5,56,5.4,5.7,8,47.75,62.0,30.0,10.86,54.01,38.84,Needs Improvement,Shortage
3.2,63,6.4,5.0,3,60.33,73.0,51.0,9.29,60.39,54.42,Average,Shortage
2.6,65,6.2,6.3,8,47.12,62.0,34.0,10.59,55.54,44.34,Needs Improvement,Shortage
0.8,39,3.7,7.9,3,29.33,42.0,16.0,10.62,38.55,15.62,Needs Improvement,Shortage
7.4,97,7.7,2.5,6,92.17,100.0,85.0,6.01,100.0,100.0,Excellent,Eligible
2.8,61,5.3,7.6,5,43.4,63.0,31.0,12.14,41.05,36.46,Needs Improvement,Shortage
3.4,71,5.8,3.6,5,60.4,76.0,52.0,8.52,69.61,58.39,Average,Shortage
5.4,86,6.8,3.2,5,79.8,90.0,74.0,5.38,83.06,84.34,Good,Eligible
6.9,90,7.1,3.9,7,79.43,92.0,71.0,7.98,83.28,90.51,Excellent,Eligible
8.1,93,7.9,1.2,4,91.75,99.0,87.0,5.07,94.23,100.0,Excellent,Eligible
0.9,29,4.9,9.6,6,30.17,43.0,21.0,7.29,34.56,11.7,Needs Improvement,Shortage
3.8,76,6.0,5.4,3,71.67,78.0,63.0,6.34,67.75,71.29,Good,Eligible
9.4,95,8.3,0.6,3,93.0,97.0,91.0,2.83,100.0,100.0,Excellent,Eligible
2.4,54,6.1,5.7,5,52.8,63.0,42.0,7.25,57.72,46.61,Needs Improvement,Shortage
5.7,87,7.8,2.7,4,85.0,92.0,78.0,5.39,84.41,92.96,Excellent,Eligible
9.9,98,7.6,2.1,4,90.25,93.0,87.0,2.38,86.53,100.0,Excellent,Eligible
3.0,70,7.0,3.7,5,67.2,74.0,60.0,4.62,58.42,57.9,Average,Shortage
3.3,72,6.1,5.3,8,67.88,78.0,57.0,7.54,77.06,62.81,Average,Shortage
4.4,78,6.2,6.0,8,63.88,72.0,52.0,7.54,68.86,65.9,Average,Eligible
4.7,67,7.4,3.3,7,63.43,78.0,53.0,11.02,65.08,62.13,Average,Shortage
6.1,86,7.7,2.4,5,81.2,88.0,71.0,7.57,81.93,91.24,Excellent,Eligible
3.2,79,6.9,3.9,3,57.0,57.0,57.0,0.0,59.37,56.31,Average,Eligible
3.6,70,6.3,3.4,5,64.8,74.0,54.0,7.83,73.95,60.96,Average,Shortage
4.8,70,6.3,5.8,8,63.75,74.0,55.0,5.58,61.35,61.13,Average,Shortage
8.8,90,7.2,0.8,3,93.33,100.0,85.0,6.24,100.0,100.0,Excellent,Eligible
2.0,59,5.9,6.6,4,42.25,48.0,31.0,6.76,33.24,27.07,Needs Improvement,Shortage
5.6,82,7.3,2.3,6,81.83,91.0,73.0,6.89,85.79,88.2,Excellent,Eligible
4.1,71,5.7,3.3,5,71.6,77.0,61.0,5.99,79.97,71.33,Good,Shortage
7.5,91,7.6,1.0,8,93.62,100.0,87.0,4.74,88.83,100.0,Excellent,Eligible
4.0,63,7.4,5.4,7,61.71,76.0,50.0,10.1,60.5,59.82,Average,Shortage
5.9,80,6.8,3.7,4,80.5,88.0,71.0,6.34,84.67,84.64,Good,Eligible
6.9,80,7.5,2.5,4,80.0,85.0,72.0,4.85,86.48,88.24,Excellent,Eligible
2.1,47,6.2,7.4,4,55.5,60.0,42.0,7.79,49.78,44.74,Needs Improvement,Shortage
4.6,70,6.4,3.5,8,61.38,71.0,54.0,6.2,53.66,59.27,Average,Shortage
3.3,74,7.2,4.5,4,62.5,73.0,56.0,6.42,63.35,59.68,Average,Shortage
9.4,91,8.0,0.8,5,92.8,98.0,86.0,4.87,94.42,100.0,Excellent,Eligible
2.2,49,5.6,6.5,4,44.25,50.0,33.0,6.65,42.99,34.66,Needs Improvement,Shortage
3.5,49,6.0,6.1,8,45.25,61.0,32.0,11.89,45.48,32.89,Needs Improvement,Shortage
2.8,48,5.6,6.8,5,49.2,65.0,37.0,10.98,46.26,41.01,Needs Improvement,Shortage
3.2,67,6.2,3.0,5,60.8,67.0,56.0,4.17,68.81,57.34,Average,Shortage
4.1,68,6.7,4.7,5,64.0,75.0,51.0,8.44,65.72,64.05,Average,Shortage
3.0,72,7.1,4.0,6,70.83,77.0,62.0,5.21,74.04,65.97,Average,Shortage
3.7,61,6.3,3.7,8,63.62,75.0,54.0,8.05,55.55,54.65,Average,Shortage
2.4,44,5.6,5.2,4,44.75,49.0,35.0,5.67,53.24,35.55,Needs Improvement,Shortage
9.4,88,8.1,1.3,8,92.88,99.0,85.0,5.3,92.78,100.0,Excellent,Eligible
3.3,66,5.5,3.2,8,69.0,78.0,52.0,8.03,62.4,61.43,Average,Shortage
3.7,80,7.4,4.7,3,65.67,67.0,64.0,1.25,60.71,64.76,Average,Eligible
9.4,100,7.7,0.6,6,92.83,98.0,87.0,3.93,98.77,100.0,Excellent,Eligible
3.1,66,6.9,5.6,7,63.57,75.0,53.0,5.92,57.05,56.19,Average,Shortage
4.1,72,6.9,4.2,8,67.88,77.0,57.0,8.12,62.53,64.4,Average,Shortage
7.4,90,7.9,1.7,8,95.0,100.0,88.0,3.91,100.0,100.0,Excellent,Eligible
3.4,63,6.4,6.0,5,66.4,77.0,52.0,9.65,56.88,58.74,Average,Shortage
4.0,63,7.2,4.6,8,60.75,71.0,57.0,4.35,69.21,60.87,Average,Shortage
5.8,84,6.6,2.6,7,77.86,91.0,70.0,6.87,78.63,81.07,Good,Eligible
3.6,80,7.3,5.0,7,64.86,75.0,52.0,6.58,64.72,65.35,Average,Eligible
5.1,77,7.4,3.1,7,80.14,87.0,75.0,4.52,70.48,82.54,Good,Eligible
9.6,93,7.1,1.6,5,91.8,99.0,85.0,5.88,92.98,100.0,Excellent,Eligible
4.5,63,5.5,5.1,5,68.2,77.0,50.0,9.62,60.83,65.07,Average,Shortage
3.7,72,7.0,5.9,8,66.25,78.0,54.0,7.17,66.09,63.31,Average,Shortage
3.3,74,6.9,3.0,8,59.5,67.0,52.0,5.55,61.88,55.83,Average,Shortage
4.7,75,7.2,4.6,7,65.29,78.0,56.0,7.13,66.56,68.04,Average,Eligible
3.4,81,5.6,3.4,4,61.0,71.0,52.0,6.96,70.09,60.49,Average,Eligible
2.6,57,6.1,5.5,3,54.33,58.0,49.0,3.86,52.74,46.71,Needs Improvement,Shortage
0.6,42,4.5,9.2,5,28.8,44.0,18.0,11.27,33.01,12.62,Needs Improvement,Shortage
4.3,66,6.9,4.5,4,59.0,71.0,50.0,7.58,52.65,53.49,Average,Shortage
6.4,80,7.8,3.5,6,79.33,91.0,72.0,6.45,83.97,85.06,Excellent,Eligible
6.6,88,7.5,2.9,8,81.12,90.0,71.0,6.99,90.71,91.23,Excellent,Eligible
4.2,71,7.3,4.0,3,55.33,58.0,53.0,2.05,51.28,51.94,Average,Shortage
7.8,91,7.7,0.9,3,94.0,98.0,89.0,3.74,98.81,100.0,Excellent,Eligible
9.1,96,7.0,1.8,8,95.5,99.0,88.0,3.91,98.15,100.0,Excellent,Eligible
1.9,46,6.5,5.8,4,49.25,60.0,36.0,9.73,50.78,36.85,Needs Improvement,Shortage
8.7,100,7.0,0.6,7,92.14,100.0,85.0,4.88,85.41,100.0,Excellent,Eligible
3.8,64,6.1,4.0,6,64.83,78.0,51.0,8.9,55.29,56.59,Average,Shortage
1.1,39,4.3,7.9,8,26.88,42.0,17.0,8.36,34.57,16.11,Needs Improvement,Shortage
8.0,94,7.0,1.1,5,93.2,99.0,85.0,6.01,92.4,100.0,Excellent,Eligible
1.3,33,5.3,8.7,3,35.33,42.0,31.0,4.78,35.72,19.81,Needs Improvement,Shortage
3.3,78,5.8,3.9,5,69.8,78.0,58.0,6.71,64.22,66.19,Average,Eligible
7.1,93,7.6,1.2,7,93.71,99.0,87.0,5.09,95.58,100.0,Excellent,Eligible
4.0,70,5.6,4.6,8,63.75,76.0,53.0,8.01,58.74,60.48,Average,Shortage
6.0,90,7.4,2.3,8,79.0,88.0,71.0,5.94,82.72,87.79,Excellent,Eligible
3.2,78,5.7,3.2,8,66.62,76.0,57.0,6.78,66.85,67.37,Average,Eligible
6.6,79,7.0,3.3,5,78.2,92.0,72.0,7.86,86.13,88.47,Excellent,Eligible
5.1,88,7.8,4.0,8,82.25,91.0,73.0,6.42,72.6,83.55,Good,Eligible
2.4,51,4.7,5.7,4,54.5,64.0,47.0,6.87,58.79,41.1,Needs Improvement,Shortage
6.5,88,7.6,3.4,6,81.5,88.0,77.0,3.82,81.54,87.92,Excellent,Eligible
8.8,99,8.0,1.0,4,89.75,93.0,86.0,3.27,97.29,100.0,Excellent,Eligible
6.0,85,6.8,3.0,7,78.29,88.0,70.0,6.61,78.31,87.18,Excellent,Eligible
3.2,45,6.2,7.3,7,50.57,64.0,34.0,10.31,41.09,40.05,Needs Improvement,Shortage
4.8,68,6.0,3.1,8,61.25,76.0,52.0,8.3,64.94,59.75,Average,Shortage
3.8,81,6.2,4.5,5,68.8,76.0,60.0,5.98,61.08,66.94,Average,Eligible
1.2,49,3.8,8.6,7,29.86,44.0,18.0,10.05,36.33,15.52,Needs Improvement,Shortage
4.5,65,5.9,3.7,7,65.14,78.0,50.0,7.88,72.09,65.36,Average,Shortage
3.6,68,7.4,4.2,4,62.0,78.0,50.0,12.33,62.96,58.72,Average,Shortage
6.9,83,7.9,3.9,8,84.0,91.0,75.0,4.82,86.75,94.04,Excellent,Eligible
5.4,80,7.8,3.6,3,89.67,92.0,86.0,2.62,91.25,95.7,Excellent,Eligible
6.5,86,6.7,3.5,3,84.67,89.0,76.0,6.13,77.82,89.7,Excellent,Eligible
3.5,60,7.3,5.8,7,64.57,71.0,56.0,5.75,63.05,60.12,Average,Shortage
4.7,61,7.1,3.3,6,66.83,75.0,50.0,8.9,61.57,67.23,Average,Shortage
3.5,63,5.8,6.0,6,67.33,71.0,58.0,4.53,66.77,59.98,Average,Shortage
